id,name,website,domain,hq_country,hq_city,entity_type,sectors,founded_year,ownership,funding_stage,total_disclosed_funding,last_funding_date,status,evidence_url,source,source_date,confidence
bcome,BCome,https://bcome.biz,bcome.biz,Spain,Barcelona,platform,textiles,,,,,,active,https://bcome.biz/,official company website,2026-07-28,verified
benelog-gmbh-co-kg,benelog GmbH & Co. KG,https://benelog.com,benelog.com,Germany,Cologne,middleware,"textiles,electronics,batteries,construction,food,chemicals",,,,,,active,https://benelog.com/,official company website,2026-07-28,verified
beopass,BeoPass,https://beopass.eu,beopass.eu,,,platform,batteries,,,,,,active,https://beopass.eu/,official company website,2026-07-28,claimed
billon-group,Billon Group,https://billongroup.com,billongroup.com,United Kingdom,London,middleware,,2015,,grant-funded,EUR 1.96m,2017-09-29,active,https://billongroup.com/enterprise-solutions/trusted-document-management/digital-product-passport,official company website; Companies House; CORDIS,2026-07-28,verified
biniworld-innovations-private-limited,BiniWorld Innovations Private Limited,https://biniworld.com,biniworld.com,,,platform,,,,,,,active,https://biniworld.com,official company website,2026-07-28,claimed
blue-room-innovation,Blue Room Innovation,https://www.blueroominnovation.com,blueroominnovation.com,Spain,Barcelona,platform,"textiles,construction,electronics",,,,,,active,https://www.blueroominnovation.com/en/dpp/,official company website,2026-07-28,verified
care-id,CARE ID,https://careid.center,careid.center,South Korea,Seoul,platform,textiles,,product of Yune Inc.,,,,active,https://careid.center/en/,official company website,2026-07-28,verified
caruma,Caruma,https://caruma.io,caruma.io,Poland,Olsztyn,platform,textiles,,,,,,active,https://dpp.caruma.io/,official company website and terms,2026-07-28,verified
catena-x,Catena-X,https://catena-x.net,catena-x.net,Germany,Berlin,standards-body,"automotive,batteries",,registered association (Catena-X Automotive Network e.V.),,,,active,https://catena-x.net/use-case-cluster/digital-product-passport/,official association website,2026-07-28,verified
certilogo,Certilogo,https://www.certilogo.com,certilogo.com,Italy,Milan,identity-carrier,textiles,,subsidiary of eBay Inc.,subsidiary,,,active,https://www.certilogo.com/,official company website,2026-07-28,verified
checkpoint-systems,Checkpoint Systems,https://checkpointsystems.com,checkpointsystems.com,USA,Thorofare,identity-carrier,textiles,,subsidiary of CCL Industries Inc.,subsidiary,,,active,https://checkpointsystems.com/apparel-labeling-solutions/digital-product-passport/,official company website,2026-07-28,verified
chemius,Chemius,https://www.chemius.net,chemius.net,Slovenia,Kamnik,not-a-supplier,chemicals,,product of Bens Consulting d.o.o.,,,,active,https://www.chemius.net/digital-product-passport/digital-product-passport-dpp-what-it-means-for-chemical-companies/,official company website,2026-07-28,verified
circthread,CircThread,https://circthread.com,circthread.com,,,project-consortium,"electronics,batteries,home appliances",2021,EU project consortium,grant-funded,EUR 7.99m,2021-05-25,dormant,https://circthread.com/,official project website and CORDIS,2026-07-28,claimed
circudata,Circudata,https://circudata.co,circudata.co,,,platform,"batteries,textiles,construction,electronics,furniture,chemicals",,,,,,active,https://circudata.co/platforms/?platform=digital-product-passport,official company website,2026-07-28,claimed
circuland,Circuland,https://circuland.co.uk,circuland.co.uk,United Kingdom,London,platform,"construction,batteries,tyres,furniture,textiles",,,,,,active,https://circuland.co.uk/en,official company website and terms,2026-07-28,verified
circular,circular.fashion,https://circular.fashion,circular.fashion,Germany,Berlin,platform,textiles,,,,,,active,https://circular.fashion/downloads/Circular_Design_Standard_v6.0.pdf,official company publication,2026-07-28,verified
circularise,Circularise,https://www.circularise.com,circularise.com,Netherlands,The Hague,platform,"batteries,textiles,automotive,chemicals,plastics,metals,electronics,construction",2016,,series-a-plus,EUR 11m,2024-11-20,active,https://www.circularise.com,official company website and releases,2026-07-28,verified
circularpass-easytrack,CircularPass (EasyTrack),https://circularpass.io,circularpass.io,Spain,Barcelona,not-a-supplier,"textiles,construction,electronics",,product of Blue Room Innovation S.L.,,,,active,https://www.blueroominnovation.com/en/circularpass/,official product and company websites,2026-07-28,verified
circulor,Circulor,https://circulor.com,circulor.com,United Kingdom,London,platform,"batteries,automotive",2017,,series-a-plus,USD 25m,2022-06-28,active,https://circulor.com/,official company website and investor release,2026-07-28,verified
cirpass,CIRPASS,https://cirpassproject.eu,cirpassproject.eu,,,project-consortium,"electronics,batteries,textiles",2022,EU project consortium,grant-funded,,,dormant,https://cirpassproject.eu/,official project website,2026-07-28,claimed
cirpass2,CIRPASS-2,https://cirpass2.eu,cirpass2.eu,,,project-consortium,"textiles,electronics,tyres,construction",2024,EU project consortium led by CEA-List,grant-funded,,,active,https://cirpass2.eu/about/,official project website,2026-07-28,claimed
cirtag-ab,Cirtag Ab,https://cirtag.eu,cirtag.eu,Sweden,Stockholm,platform,"electronics,batteries",,,,,,active,https://cirtag.eu/,official company website,2026-07-28,claimed
clothing-connected,Clothing Connected,https://clothingconnected.global,clothingconnected.global,,Londonderry,middleware,textiles,,product of Foods Connected,,,,active,https://clothingconnected.global/,official product website,2026-07-28,claimed
cobuilder,Cobuilder,https://cobuilder.com,cobuilder.com,Norway,Lysaker,erp-pim-plm,construction,,,,,,active,https://cobuilder.com/en/,official company website,2026-07-28,verified
concular,Concular,https://concular.de,concular.de,Germany,Berlin,platform,construction,,,,,,active,https://concular.de/hersteller/,official company website,2026-07-28,verified
containergrid,ContainerGrid,https://containergrid.de,containergrid.de,Germany,Munich,middleware,"automotive,batteries,electronics,construction",,,,,,active,https://containergrid.de/,official company website and imprint,2026-07-28,verified
crystalchain,Crystalchain,https://crystalchain.io,crystalchain.io,France,Paris,platform,textiles,,,,,,active,https://crystalchain.io/regulations/dpp-espr,official company website and legal notice,2026-07-28,verified
cycle-platform,Cycle Platform,https://www.cycle-platform.com,cycle-platform.com,,,platform,textiles,,,,,,active,https://www.cycle-platform.com/open,official company website,2026-07-28,claimed
cyrcid,cyrcid,https://cyrcid.com,cyrcid.com,Czech Republic,Brno,platform,textiles,,,,,,active,https://cyrcid.com/en,official company website and terms of service,2026-07-28,verified
dataart,DataArt,https://www.dataart.com,dataart.com,USA,New York,consultancy,automotive,,,,,,active,https://www.dataart.com/digital-product-passport,official company website and legal information,2026-07-28,verified
deeplai,Deeplai,https://deeplai.com,deeplai.com,Poland,Lublin,platform,"textiles,furniture,electronics",,,,,,active,https://deeplai.com/dpp,official company website and contact page,2026-07-28,verified
deloitte-consulting-gmbh,Deloitte Consulting GmbH,https://www.deloitte.com/de/de,deloitte.com,Germany,Düsseldorf,consultancy,,,,,,,active,https://www.deloitte.com/de/de/issues/sustainability-climate/digitaler-produktpass-dpp.html,official company website and privacy notice,2026-07-28,verified
deply,Deply,https://deply.it,deply.it,Italy,Rome,platform,"textiles,electronics",,operated by TeXPo S.r.l (P.IVA 16003981004),,,,active,https://deply.it/,"official product site and imprint; merged with the duplicate row texpo-srl-deply on 2026-07-30 (same domain, same company)",2026-07-28,verified
digipilpass,DIGIPILPASS,https://digipilpass.com,digipilpass.com,Turkey,,not-a-supplier,batteries,,product of Exponential Yazılım,,,,active,https://exponential.com.tr/en/projects/digipilpass,official product and parent company websites,2026-07-28,claimed
digipropass,DigiProPass,https://digipropass.com,digipropass.com,United Kingdom,London,platform,textiles,,,,,,active,https://digipropass.com/,official company website and privacy policy,2026-07-28,verified
distinkt,Distinkt,https://trustdistinkt.com,trustdistinkt.com,Spain,Barcelona,platform,,,,,,,active,https://trustdistinkt.com/products/dpp,official company website and privacy policy,2026-07-28,verified
dnv,DNV,https://www.dnv.com,dnv.com,Norway,Høvik,consultancy,"batteries,textiles,electronics",,,,,,active,https://www.dnv.com/services/digital-product-passport-dpp/,official company website and terms of use,2026-07-28,verified
dpp-hero,DPP HERO,https://dpphero.com,dpphero.com,Germany,Hemmingen,platform,batteries,,sole proprietor (Niels van Veen),,,,active,https://dpphero.com/en/imprint,official company website and imprint,2026-07-28,verified
dpp-services,DPP Services,,,,,platform,,,,,,,active,,identity research; no primary source found,2026-07-28,unverified
dpp-studio-by-ez-lab,DPP Studio by EZ Lab,https://www.dppstudio.it,dppstudio.it,Italy,Padua,platform,"textiles,food,cosmetics,furniture,electronics",,product of EZ Lab Srl,,EUR 0.742m+,,active,https://www.dppstudio.it/en/,official product and company websites,2026-07-28,verified
dpp-pro,DPP.PRO,https://digital-product-passport.pro,digital-product-passport.pro,Germany,Munich,not-a-supplier,,,,,,,active,https://digital-product-passport.pro,official company website,2026-07-31,claimed
dpp4-0,DPP4.0,https://industrialdigitaltwin.org/dpp4-0,industrialdigitaltwin.org,,,not-a-supplier,electronics,,,,,,active,https://industrialdigitaltwin.org/dpp4-0,official IDTA project page,2026-07-28,claimed
dppit,DPPIT,https://dppit.eu,dppit.eu,Croatia,Sveta Nedelja,platform,,,product of NOS d.o.o.,,,,active,https://dppit.eu/about-application/,official product website,2026-07-28,claimed
dppmanager-com,DPPMANAGER.COM,https://dppmanager.com,dppmanager.com,Ireland,,platform,,,,,,,active,https://dppmanager.com/,official company website,2026-07-28,claimed
dppskop,DPPskop,https://dppskop.com,dppskop.com,Turkey,Bursa,platform,"batteries,textiles,electronics,furniture",,product of Tekvizyon Technology Services,seed,EUR 2m,2025-06-04,active,https://dppskop.com/en/digital-product-passport.html,"official product website, privacy policy and company release",2026-07-28,verified
duepas,DUEPAS,https://dupastr.com,dupastr.com,Turkey,Kocaeli,platform,"electronics,batteries",,product of Exponential Yazılım,,,,active,https://exponential.com.tr/en/projects/dupas,official product and parent company websites,2026-07-28,claimed
e-circular-aps,E Circular ApS,https://circulareconomyinternet.com,circulareconomyinternet.com,Denmark,Fredensborg,consultancy,,,,grant-funded,"EUR 264,793.97",,active,https://cirpass2.eu/who-we-are/,official company website and EU Funding & Tenders Portal,2026-07-28,verified
echo-prm-gmbh,ECHO PRM GmbH,https://echoprm.com,echoprm.com,Germany,Betzigau,platform,,,,,,,active,https://echoprm.com/en/the-digital-product-passport/,official website and imprint,2026-07-28,verified
eclass-e-v,ECLASS e.V.,https://eclass.eu/en,eclass.eu,Germany,Cologne,standards-body,,,,,,,active,https://eclass.eu/en/application/digital-product-passport-dpp,official company website,2026-07-30,verified
ecoviator,Ecoviator,https://ecoviator.com,ecoviator.com,Germany,Munich,consultancy,,,independent (Wolfgang Steiner),,,,active,https://ecoviator.com/,official website and imprint,2026-07-28,verified
emblem,Emblem,,,,,platform,"textiles,furniture",,,,,,active,https://dppindex.eu/dpp-providers/emblem,dppindex.eu,2026-07-28,unverified
emidat,Emidat,https://www.emidat.com,emidat.com,Germany,Munich,platform,construction,,,,,,active,https://www.emidat.com/,official website and imprint,2026-07-28,verified
energy-web,Energy Web,https://www.energyweb.org,energyweb.org,Switzerland,Zug,middleware,,,nonprofit foundation,,,,active,https://energywebx.medium.com/energy-web-joins-cirpass-to-lay-the-ground-for-the-deployment-of-european-digital-passport-products-ccbeaa1678f4,"official website, privacy policy, and official publisher channel",2026-07-28,verified
enseso-d-o-o,ENSESO d.o.o,https://enseso.com,enseso.com,Croatia,Zagreb,platform,food,,,,,,active,https://sunrise2027.ai/about,official corporate and product websites; product privacy policy,2026-07-28,verified
eon,EON,https://eon.xyz,eon.xyz,USA,New York,platform,textiles,,,series-a-plus,USD 10m,2022-02-15,active,https://eon.xyz/,"official website, terms, and company funding announcement",2026-07-28,verified
esgnext,ESGnext,https://esgnext.it,esgnext.it,Italy,Alba,platform,"batteries,textiles,electronics,furniture",2021,subsidiary of RW Consulting srl (100%),subsidiary,,,active,https://esgnext.it/elyze/,official website and legal disclosure,2026-07-28,verified
eviden,Eviden,https://eviden.com,eviden.com,France,Bezons,platform,,,subsidiary of Atos Group,subsidiary,,,active,https://atos.net/en/2024/press-release_2024_07_11/eviden-and-the-iota-foundation-announce-digital-passport-solution-powered-by-iota,official Eviden website and Atos Group product announcement,2026-07-28,claimed
fabacus,Fabacus,https://fabacus.com,fabacus.com,United Kingdom,London,platform,,2016,,,,,active,https://fabacus.com/fabacus-and-inclusive-fashion-brand-dewey-launch-pioneering-digital-product-passport-activation/,official website and Companies House,2026-07-28,verified
fairlymade,Fairly Made,https://www.fairlymade.com,fairlymade.com,France,Paris,platform,textiles,,,,,,active,https://www.fairlymade.com/legal-solutions---dpp,official website and legal information,2026-07-28,verified
family-labs-pty-ltd,Family Labs Pty Ltd,https://universalgoods.org,universalgoods.org,Australia,Melbourne,platform,,,,,,,active,https://universalgoods.org/privacy-policy,official product website and privacy policy,2026-07-28,verified
fluxy-one,Fluxy One,https://fluxy.one,fluxy.one,Latvia,Riga,middleware,"textiles,electronics,construction,tyres,furniture,food",,,,,,active,https://fluxy.one/,official website and contact page,2026-07-28,claimed
foodtraze,FoodTraze,https://www.foodtraze.com,foodtraze.com,India,Chennai,platform,food,,,,,,active,https://www.foodtraze.com/,official product and parent-company websites,2026-07-28,claimed
fraunhofer-iosb,Fraunhofer IOSB,https://www.iosb.fraunhofer.de,iosb.fraunhofer.de,Germany,Karlsruhe,consultancy,,,part of Fraunhofer-Gesellschaft e.V.,,,,active,https://publica.fraunhofer.de/entities/publication/46c08aa4-1fc1-4353-8452-479efce6d823,"official institute website, contractual terms, and Fraunhofer publication",2026-07-28,verified
global-battery-alliance,Global Battery Alliance,https://www.globalbattery.org,globalbattery.org,Belgium,Brussels,project-consortium,batteries,,international nonprofit association (AISBL),,,,active,https://www.globalbattery.org/battery-passport/,official website and charter,2026-07-28,verified
go-trace,GO TRACE,https://www.go-trace.com,go-trace.com,France,Annecy,consultancy,textiles,2019,Altanest SAS,,,,active,https://www.go-trace.com,official company website,2026-07-31,verified
goods-tag,GOODS TAG,https://www.goodstag.com,goodstag.com,Germany,Berlin,platform,"batteries,textiles,furniture,electronics,construction,chemicals",,brand of todo Gesellschaft für Informationstechnik GmbH,,,,acquired,https://pine.gs1.de/news/ubernahme-durch-todo-gmbh-starkt-zukunft-von-goodstag-von-goodstag-gmbh,"official website, imprint, and company acquisition notice",2026-07-28,verified
goodsid,GoodsID,https://goodsid.io,goodsid.io,France,Montreuil,platform,,,,,,,active,https://goodsid.io/en/,official website and embedded legal notice,2026-07-28,verified
green-story,Green Story,https://www.greenstory.io,greenstory.io,,,platform,textiles,,,,,,active,https://www.greenstory.io/digital-product-passports-for-textile-manufacturers,official website and terms of service,2026-07-28,claimed
greenable-gmbh,greenable GmbH,https://greenable.tech,greenable.tech,Germany,Kaiserslautern,platform,,,,seed,,,active,https://greenable.tech/en/about-us/,"official website, imprint, and company funding statement",2026-07-28,verified
greenstitch-technologies-private-limited,GreenStitch Technologies Private Limited,https://greenstitch.io,greenstitch.io,India,Bangalore,platform,textiles,,,,,,active,https://greenstitch.io/product/digital-product-passport/,official company website and privacy policy,2026-07-28,verified
gs1,GS1,https://www.gs1.org,gs1.org,Belgium,Brussels,standards-body,,,,,,,active,https://www.gs1.org/standards/standards-emerging-regulations/DPP,official GS1 standards page and terms of use,2026-07-28,verified
hala,HALA,https://www.haladpp.com/,haladpp.com,Italy,Milan,platform,textiles,,,,,,active,https://www.haladpp.com/,official company website,2026-07-28,claimed
harbour-ai,Harbour AI,https://harbour-ai.com,harbour-ai.com,Ireland,,platform,,2025,,seed,,,active,https://harbour-ai.com/blog/what-is-a-digital-product-passport,"official company website, CRO Gazette, and Enterprise Ireland",2026-07-28,verified
ibm,IBM,https://www.ibm.com,ibm.com,USA,Armonk,middleware,,,public (NYSE: IBM),public,,,active,https://www.ibm.com/products/carbon-ledger,official IBM product page and SEC filing,2026-07-28,verified
industryapps,IndustryApps,https://www.industryapps.net,industryapps.net,Singapore,Singapore,platform,,,,,,,active,https://www.industryapps.net/product/digital-product-passport,"official company website, contact page, and privacy policy",2026-07-28,claimed
innopay,INNOPAY,https://www.innopay.com,innopay.com,,,consultancy,,,subsidiary of Oliver Wyman,,,,acquired,https://www.oliverwyman.com/our-expertise/capabilities/payments/innopay.html,official Oliver Wyman website and acquisition release,2026-07-28,claimed
inriver,inriver,https://www.inriver.com,inriver.com,Sweden,Malmö,erp-pim-plm,,,majority-owned by THL Partners; Verdane retains a significant stake,,,,active,https://www.inriver.com/resources/digital-product-passport/,"official company website, contact page, and investment release",2026-07-28,claimed
iota-foundation,IOTA Foundation,https://www.iota.org,iota.org,Germany,Berlin,middleware,,,,grant-funded,,,active,https://blog.iota.org/dpp-for-electronics-iota,"official IOTA website, privacy policy, and DPP project article",2026-07-28,verified
ipoint-systems,iPoint-systems,https://www.ipoint-systems.com,ipoint-systems.com,Germany,Reutlingen,erp-pim-plm,"electronics,automotive",,subsidiary of Assent,subsidiary,,,acquired,https://www.ipoint-systems.com/,official IPOINT legal notice and Assent acquisition release,2026-07-28,verified
ixalab-2026,Ixalab.2026,https://ixalab.com,ixalab.com,Uruguay,,platform,textiles,,,,,,active,https://ixalab.com/en/ts-eng/,official company website and Uruguay industrial property bulletin,2026-07-28,verified
k4security-co-ltd,"K4SECURITY Co., Ltd",https://www.k4-security.com/,k4-security.com,South Korea,Seoul,platform,,,,,,,active,https://k4-dpp.com/,"official company and product websites, plus official partner release",2026-07-28,claimed
kelpai,kelpAi,https://kelpai.co.uk,kelpai.co.uk,United Kingdom,Belfast,platform,"textiles,furniture,construction",2026,,,,,active,https://kelpai.co.uk/,official company website and Companies House,2026-07-28,verified
kerion-x-core,Kerion X Core,,,,,platform,,,,,,,active,https://digital-product-passport.pro/showroom/kerion-x-core/,digital-product-passport.pro directory; primary-source verification pass,2026-07-28,unverified
kevla-gmbh,Kevla GmbH,https://www.kevla.io,kevla.io,Germany,Berlin,middleware,,,"joint venture of PwC Germany, adesso, and Kiwa",,,,active,https://www.kevla.io/en/usecases/digital-product-passport,official company legal notice and Kiwa press release,2026-07-28,verified
kezzler,Kezzler,https://kezzler.com,kezzler.com,Norway,Oslo,platform,"batteries,textiles",,,,,,active,https://kezzler.com/digital-product-passport/,official company website and Brønnøysund Register,2026-07-28,verified
kinset,Kinset,https://www.kinset.com,kinset.com,Ireland,Dublin,platform,"textiles,tyres,furniture,electronics,chemicals,general",2023,,,,,active,https://www.kinset.com/product/digital-product-passports/,"official company website, legal policy, and CRO Gazette",2026-07-28,verified
kolla,Kolla,https://www.kolla.eu,kolla.eu,Sweden,Stockholm,platform,,,,,,,active,https://www.kolla.eu/en/dpp/kollas-digital-product-passport-solution,official company website and privacy policy,2026-07-28,verified
kurz-digital,KURZ Digital,https://kurzdigital.com,kurzdigital.com,Germany,Fürth,platform,"batteries,textiles,general,tyres,furniture,electronics",,subsidiary of LEONHARD KURZ,subsidiary,,,active,https://kurzdigital.com/en/solutions/digital-product-passport-plus/,official KURZ Digital legal page and parent company website,2026-07-28,verified
laava-id,Laava ID,https://laava.id,laava.id,Australia,,identity-carrier,"textiles,electronics,batteries,construction,automotive",2017,,grant-funded,,,active,https://laava.id/solutions,"official company website, Australian Business Register, and GrantConnect",2026-07-28,verified
landbell-h2-compliance,Landbell H2 Compliance,https://h2compliance.com,h2compliance.com,Ireland,Dublin,consultancy,"textiles,chemicals",,part of Landbell Group,,,,active,https://h2compliance.com/,official company websites and Canadian Intellectual Property Office,2026-07-28,verified
lingon,Lingon,https://www.lingon.io,lingon.io,Sweden,Stockholm,platform,furniture,,operated by Lingon Certificates AB (Swedish org. no. 559063-5032),,,,active,https://www.lingon.io/platform,official product page and company legal footer,2026-07-29,verified
luxima,Luxima,https://luxima.io,luxima.io,Ireland,Dublin,platform,"textiles,tyres,furniture,construction",,product of MBP Network Technology Limited,,,,active,https://luxima.io/en/terms-of-service.html,official product website and legal documents,2026-07-28,verified
lw3-private-limited,LW3 Private Limited,https://www.lw3.world,lw3.world,India,Guwahati,platform,batteries,,,,,,active,https://lw3.world/blog/10/green-hydrogen-digital-product-passport,official company website,2026-07-28,claimed
lyondellbasell,LyondellBasell,https://www.lyondellbasell.com,lyondellbasell.com,,,not-a-supplier,chemicals,,public (NYSE: LYB),,,,active,https://www.lyondellbasell.com,official company website and SEC filing,2026-07-28,unverified
madaster,Madaster,https://madaster.com,madaster.com,Netherlands,Laren,platform,construction,,,,,,active,https://madaster.com,official company website and corporate document,2026-07-28,verified
magellan-tx-dpp,MAGELLAN (TX DPP),,,,,platform,textiles,,,,,,active,https://digital-product-passport.pro/showroom/txdpp/,digital-product-passport.pro directory,2026-07-28,unverified
meatec,MEAtec,https://www.mea-tec.com,mea-tec.com,Germany,Stuttgart,platform,"batteries,textiles,electronics",,,,,,active,https://www.mea-tec.com/jobs/product-designer---battery-passport-system,official company website,2026-07-28,claimed
merloop,Merloop,https://merloop.eu,merloop.eu,Germany,Ludwigsburg,platform,,,,,,,active,https://merloop.eu/,official product website and privacy policy,2026-07-28,verified
miceliodata,MicelioData,https://miceliodata.eu,miceliodata.eu,Spain,Madrid,platform,textiles,,,,,,active,https://miceliodata.eu/,official company website,2026-07-28,claimed
minespider,Minespider,https://www.minespider.com,minespider.com,Germany,Berlin,platform,batteries,2018,,grant-funded,EUR 2.8m,2020-04-16,active,https://www.minespider.com/,"official company website, privacy policy and funding release",2026-07-28,verified
mobillor-technologies-b-v,Mobillor Technologies B.V.,https://mobillor.com,mobillor.com,Netherlands,Den Haag,platform,"electronics,automotive",,,,,,active,https://mobillor.com/digital-product-passport/,official company website,2026-07-28,claimed
monxolo-ltd,Monxolo Ltd,https://monxolo.com,monxolo.com,United Kingdom,London,platform,,2025,,,,,active,https://monxolo.com/,official company website and Companies House,2026-07-28,verified
msp-ag,MSP AG,https://www.mspag.com,mspag.com,Germany,Hamburg,erp-pim-plm,,,,,,,active,https://mspag.com/en/heartpiece/heartpiece,official company website and privacy policy,2026-07-28,verified
myproductpassport,myproductpassport,https://myproductpassport.eu,myproductpassport.eu,United Kingdom,London,platform,"batteries,textiles,electronics,construction",,product of Passport Digital Limited,,,,active,https://myproductpassport.eu/terms,official product website and legal documents,2026-07-28,verified
nam-viet-group-solutions-jsc,NAM VIET GROUP SOLUTIONS JSC,https://namvietgroups.com,namvietgroups.com,Vietnam,Ho Chi Minh City,identity-carrier,,2008,,,,,active,https://namvietgroups.com/en/,official company website,2026-07-28,claimed
narravero,Narravero GmbH,https://www.narravero.com,narravero.com,Germany,Münster,platform,"textiles,furniture",,,,,,active,https://www.narravero.com/en/,official company website and imprint,2026-07-28,verified
neocondo,NeoCondo,https://www.neocondo.fr,neocondo.fr,France,Vanves,platform,textiles,,brand of Nichen SAS,,,,active,https://www.neocondo.fr/en,"official product website, legal notice and French national business register",2026-07-28,verified
objective-partner-ag,objective partner AG,https://objective-partner.de,objective-partner.de,Germany,Weinheim,consultancy,batteries,,,,,,active,https://objective-partner.de/en/digital-product-passport/,official company website and imprint,2026-07-28,verified
ootentik,OOTENTIK,https://www.ootentik.tech,ootentik.tech,France,Aix-en-Provence,identity-carrier,textiles,,,,,,active,https://www.ootentik.tech/,official company website and French national business register,2026-07-28,verified
open-dpp-gmbh,open-dpp GmbH,https://open-dpp.de,open-dpp.de,Germany,Freiburg im Breisgau,platform,"textiles,tyres",,,,,,active,https://open-dpp.de/en,official company website and imprint,2026-07-28,verified
opendpp-uab,Opendpp UAB,https://opendpp-node.eu,opendpp-node.eu,Lithuania,Vilnius,platform,"textiles,electronics,batteries",,,,,,active,https://opendpp-node.eu/,official product website and imprint,2026-07-28,verified
optel,OPTEL,https://www.optelgroup.com,optelgroup.com,Canada,Québec,platform,batteries,,operated by Optel Vision Inc.,grant-funded,,2020-07-20,active,https://www.optelgroup.com/en/blog/how-to-prepare-your-company-for-the-european-unions-digital-product-passport-regulations/,"official company website, legal terms, and funding release",2026-07-28,verified
oracle,Oracle,https://www.oracle.com,oracle.com,USA,Austin,erp-pim-plm,,,public (NYSE: ORCL),public,,,active,https://blogs.oracle.com/sustainability/2025-esg-regulatory-outlook-resilience-through-strategic-reporting-and-risk-management,official Oracle website and SEC filing,2026-07-28,verified
originpass,OriginPass,https://originpass.eu,originpass.eu,Poland,,platform,"batteries,textiles,furniture,electronics,chemicals,general",,operated by Dominik Dudziński,,,,active,https://originpass.eu/en,official product website and legal notice,2026-07-28,verified
origovero,OrigoVero,https://www.origovero.com,origovero.com,Netherlands,Almere,platform,"batteries,textiles,furniture",,product of Grigolato.it,,,,active,https://www.origovero.com/platform,official product website and legal notices,2026-07-28,verified
origyn,ORIGYN,https://www.origyn.com,origyn.com,Switzerland,Neuchâtel,platform,textiles,2020,non-profit foundation; operating entity ORIGYN Entreprise SA,,USD 20m,2021-11-23,active,https://origynfoundation.com/en,"official foundation website, legal contract, and company-issued release",2026-07-28,verified
orijin-plus,Orijin Plus,https://www.orijinplus.global,orijinplus.global,Australia,Perth,platform,food,2016,,,,,active,https://www.orijinplus.global/digital-product-passport-dpp,official product website and Australian Business Register,2026-07-28,verified
